experiment,n,time,repetitions,Gflops/s,GByte/s
vanilla, 100, 1.89632, 1, 13.6686, 109.348
vanilla, 150, 6.67138, 1, 8.74182, 69.9345
vanilla, 200, 15.3047, 1, 6.77438, 54.1951
vanilla, 250, 26.9891, 1, 6.00242, 48.0194
vanilla, 300, 41.9801, 1, 5.55692, 44.4554
vanilla, 350, 60.8123, 1, 5.22131, 41.7705
vanilla, 400, 88.937, 1, 4.66307, 37.3046
vanilla, 500, 137.893, 1, 4.69929, 37.5943
omp parllel, 100, 0.518531, 1, 49.9874, 399.899
omp parllel, 150, 2.18269, 1, 26.7193, 213.755
omp parllel, 200, 6.0794, 1, 17.0543, 136.435
omp parllel, 250, 10.9882, 1, 14.7431, 117.945
omp parllel, 300, 16.6992, 1, 13.9696, 111.756
omp parllel, 350, 23.916, 1, 13.2764, 106.212
omp parllel, 400, 37.5225, 1, 11.0526, 88.4204
omp parllel, 500, 55.753, 1, 11.6227, 92.9815
